*  EC          G       LABEL                   ION
    9191.65332     22.0  'Level  286 = F1f322X '   1
    9194.31738     20.0  'Level  287 = F2f320X '   1
    9195.09863     22.0  'Level  288 = F1e322X '   1
    9224.63574     34.0  'Level  289 = F2e234X '   1
    9225.23633     36.0  'Level  290 = F1f236X '   1
    9234.57520     34.0  'Level  291 = F2f234X '   1
    9234.67188     36.0  'Level  292 = F1e236X '   1
    9269.00977     52.0  'Level  293 = F2e052X '   1
    9269.37793     54.0  'Level  294 = F1f054X '   1
    9283.28320     44.0  'Level  295 = F2e144X '   1
    9283.72266     46.0  'Level  296 = F1f146X '   1
    9289.66211     54.0  'Level  297 = F1e054X '   1
    9290.02734     52.0  'Level  298 = F2f052X '   1
    9298.82324     46.0  'Level  299 = F1e146X '   1
    9299.01660     44.0  'Level  300 = F2f144X '   1
    9460.43750     22.0  'Level  301 = F2e322X '   1
    9461.41309     24.0  'Level  302 = F1f324X '   1
    9464.88965     22.0  'Level  303 = F2f322X '   1
    9465.53223     24.0  'Level  304 = F1e324X '   1
    9665.16504     36.0  'Level  305 = F2e236X '   1
    9665.72168     38.0  'Level  306 = F1f238X '   1
    9676.10352     36.0  'Level  307 = F2f236X '   1
    9676.13281     38.0  'Level  308 = F1e238X '   1
    9753.33496     24.0  'Level  309 = F2e324X '   1
    9754.21680     26.0  'Level  310 = F1f326X '   1
    9758.53613     24.0  'Level  311 = F2f324X '   1
    9759.05762     26.0  'Level  312 = F1e326X '   1
    9845.15332     46.0  'Level  313 = F2e146X '   1
    9845.56836     48.0  'Level  314 = F1f148X '   1
    9861.76074     48.0  'Level  315 = F1e148X '   1
    9861.99902     46.0  'Level  316 = F2f146X '   1
    9928.60645     54.0  'Level  317 = F2e054X '   1
    9928.96191     56.0  'Level  318 = F1f056X '   1
    9950.37695     56.0  'Level  319 = F1e056X '   1
    9950.77148     54.0  'Level  320 = F2f054X '   1
   10068.87988     26.0  'Level  321 = F2e326X '   1
   10069.68262     28.0  'Level  322 = F1f328X '   1
   10074.87598     26.0  'Level  323 = F2f326X '   1
   10075.29102     28.0  'Level  324 = F1e328X '   1
   10126.48145     38.0  'Level  325 = F2e238X '   1
   10127.00000     40.0  'Level  326 = F1f240X '   1
   10138.40918     40.0  'Level  327 = F1e240X '   1
   10138.44238     38.0  'Level  328 = F2f238X '   1
   10190.70605      2.0  'Level  329 = F1e42X '   1
   10190.80078      2.0  'Level  330 = F1f42X '   1
   10208.27930      4.0  'Level  331 = F1f44X '   1
   10208.28809      4.0  'Level  332 = F1e44X '   1
   10250.33789      4.0  'Level  333 = F2e44X '   1
   10250.53516      4.0  'Level  334 = F2f44X '   1
   10255.41992      6.0  'Level  335 = F1f46X '   1
   10255.54785      6.0  'Level  336 = F1e46X '   1
   10323.76758      6.0  'Level  337 = F2e46X '   1
   10324.17773      6.0  'Level  338 = F2f46X '   1
   10327.20801      8.0  'Level  339 = F1f48X '   1
   10327.51953      8.0  'Level  340 = F1e48X '   1
   10406.66699     28.0  'Level  341 = F2e328X '   1
   10407.40039     30.0  'Level  342 = F1f330X '   1
   10413.49805     28.0  'Level  343 = F2f328X '   1
   10413.81738     30.0  'Level  344 = F1e330X '   1
   10420.55078      8.0  'Level  345 = F2e48X '   1
   10421.23633      8.0  'Level  346 = F2f48X '   1
   10423.16113     10.0  'Level  347 = F1f410X '   1
   10423.72070     10.0  'Level  348 = F1e410X '   1
   10425.71191     48.0  'Level  349 = F2e148X '   1
   10426.10645     50.0  'Level  350 = F1f150X '   1
   10443.39258     50.0  'Level  351 = F1e150X '   1
   10443.67188     48.0  'Level  352 = F2f148X '   1
   10540.93750     10.0  'Level  353 = F2e410X '   1
   10541.96191     10.0  'Level  354 = F2f410X '   1
   10543.03711     12.0  'Level  355 = F1f412X '   1
   10543.90723     12.0  'Level  356 = F1e412X '   1
   10604.99414     56.0  'Level  357 = F2e056X '   1
   10605.33887     58.0  'Level  358 = F1f058X '   1
   10608.02051     40.0  'Level  359 = F2e240X '   1
   10608.50488     42.0  'Level  360 = F1f242X '   1
   10620.93066     42.0  'Level  361 = F1e242X '   1
   10621.02051     40.0  'Level  362 = F2f240X '   1
   10627.87402     58.0  'Level  363 = F1e058X '   1
   10628.29297     56.0  'Level  364 = F2f056X '   1
   10684.87598     12.0  'Level  365 = F2e412X '   1
   10686.29980     12.0  'Level  366 = F2f412X '   1
   10686.62695     14.0  'Level  367 = F1f414X '   1
   10687.86914     14.0  'Level  368 = F1e414X '   1
   10766.26074     30.0  'Level  369 = F2e330X '   1
   10766.93359     32.0  'Level  370 = F1f332X '   1
   10773.96289     30.0  'Level  371 = F2f330X '   1
   10774.19629     32.0  'Level  372 = F1e332X '   1
   10852.21680     14.0  'Level  373 = F2e414X '   1
   10853.71289     16.0  'Level  374 = F1f416X '   1
   10854.09961     14.0  'Level  375 = F2f414X '   1
   10855.38574     16.0  'Level  376 = F1e416X '   1
   11024.28613     50.0  'Level  377 = F2e150X '   1
   11024.66211     52.0  'Level  378 = F1f152X '   1
   11042.75488     16.0  'Level  379 = F2e416X '   1
   11043.04004     52.0  'Level  380 = F1e152X '   1
   11043.35645     50.0  'Level  381 = F2f150X '   1
   11044.05566     18.0  'Level  382 = F1f418X '   1
   11045.15430     16.0  'Level  383 = F2f416X '   1
   11046.21777     18.0  'Level  384 = F1e418X '   1
   11109.19434     42.0  'Level  385 = F2e242X '   1
   11109.64844     44.0  'Level  386 = F1f244X '   1
   11123.10352     44.0  'Level  387 = F1e244X '   1
   11123.24512     42.0  'Level  388 = F2f242X '   1
   11147.19824     32.0  'Level  389 = F2e332X '   1
   11147.81836     34.0  'Level  390 = F1f334X '   1
   11155.80566     32.0  'Level  391 = F2f332X '   1
   11155.96191     34.0  'Level  392 = F1e334X '   1
   11256.24512     18.0  'Level  393 = F2e418X '   1
   11257.39160     20.0  'Level  394 = F1f420X '   1
   11259.21582     18.0  'Level  395 = F2f418X '   1
   11260.09766     20.0  'Level  396 = F1e420X '   1
   11297.41992     58.0  'Level  397 = F2e058X '   1
   11297.75781     60.0  'Level  398 = F1f060X '   1
   11321.39844     60.0  'Level  399 = F1e060X '   1
   11321.83789     58.0  'Level  400 = F2f058X '   1
   11492.40527     20.0  'Level  401 = F2e420X '   1
   11493.42578     22.0  'Level  402 = F1f422X '   1
   11495.99902     20.0  'Level  403 = F2f420X '   1
   11496.72852     22.0  'Level  404 = F1e422X '   1
   11548.99316     34.0  'Level  405 = F2e334X '   1
   11549.56738     36.0  'Level  406 = F1f336X '   1
   11558.53516     34.0  'Level  407 = F2f334X '   1
   11558.62012     36.0  'Level  408 = F1e336X '   1
   11629.39258     44.0  'Level  409 = F2e244X '   1
   11629.82031     46.0  'Level  410 = F1f246X '   1
   11640.18066     52.0  'Level  411 = F2e152X '   1
   11640.54102     54.0  'Level  412 = F1f154X '   1
   11644.31445     46.0  'Level  413 = F1e246X '   1
   11644.50391     44.0  'Level  414 = F2f244X '   1
   11660.00586     54.0  'Level  415 = F1e154X '   1
   11660.35449     52.0  'Level  416 = F2f152X '   1
   11750.92188     22.0  'Level  417 = F2e422X '   1
   11751.83691     24.0  'Level  418 = F1f424X '   1
   11755.18750     22.0  'Level  419 = F2f422X '   1
   11755.78516     24.0  'Level  420 = F1e424X '   1
   11971.13184     36.0  'Level  421 = F2e336X '   1
   11971.66504     38.0  'Level  422 = F1f338X '   1
   11981.63184     36.0  'Level  423 = F2f336X '   1
   11981.65234     38.0  'Level  424 = F1e338X '   1
   12005.11914     60.0  'Level  425 = F2e060X '   1
   12005.45215     62.0  'Level  426 = F1f062X '   1
   12030.18164     62.0  'Level  427 = F1e062X '   1
   12030.63672     60.0  'Level  428 = F2f060X '   1
   12031.44824     24.0  'Level  429 = F2e424X '   1
   12032.27539     26.0  'Level  430 = F1f426X '   1
   12036.43262     24.0  'Level  431 = F2f424X '   1
   12036.91602     26.0  'Level  432 = F1e426X '   1
   12167.98535     46.0  'Level  433 = F2e246X '   1
   12168.39062     48.0  'Level  434 = F1f248X '   1
   12183.92871     48.0  'Level  435 = F1e248X '   1
   12184.16113     46.0  'Level  436 = F2f246X '   1
   12272.68555     54.0  'Level  437 = F2e154X '   1
   12273.03320     56.0  'Level  438 = F1f156X '   1
   12293.57422     56.0  'Level  439 = F1e156X '   1
   12293.95215     54.0  'Level  440 = F2f154X '   1
   12333.61133     26.0  'Level  441 = F2e426X '   1
   12334.36230     28.0  'Level  442 = F1f428X '   1
   12339.35645     26.0  'Level  443 = F2f426X '   1
   12339.73926     28.0  'Level  444 = F1e428X '   1
   12413.07617     38.0  'Level  445 = F2e338X '   1
   12413.57422     40.0  'Level  446 = F1f340X '   1
   12424.51660     40.0  'Level  447 = F1e340X '   1
   12424.55566     38.0  'Level  448 = F2f338X '   1
   12425.55762      2.0  'Level  449 = F1e52X '   1
   12425.64648      2.0  'Level  450 = F1f52X '   1
   12442.79883      4.0  'Level  451 = F1f54X '   1
   12442.80664      4.0  'Level  452 = F1e54X '   1
   12483.17188      4.0  'Level  453 = F2e54X '   1
   12483.35742      4.0  'Level  454 = F2f54X '   1
   12487.93652      6.0  'Level  455 = F1f56X '   1
   12488.05859      6.0  'Level  456 = F1e56X '   1
   12553.42188      6.0  'Level  457 = F2e56X '   1
   12553.81055      6.0  'Level  458 = F2f56X '   1
   12556.64648      8.0  'Level  459 = F1f58X '   1
   12556.94531      8.0  'Level  460 = F1e58X '   1
   12646.02734      8.0  'Level  461 = F2e58X '   1
   12646.67969      8.0  'Level  462 = F2f58X '   1
   12648.47266     10.0  'Level  463 = F1f510X '   1
   12649.00879     10.0  'Level  464 = F1e510X '   1
   12657.00586     28.0  'Level  465 = F2e428X '   1
   12657.69141     30.0  'Level  466 = F1f430X '   1
